Data,Taxa de câmbio real bilateral - IPA-DI - Brasil/Estados Unidos - índice (média 2010 = 100) - - - Instituto de Pesquisa Econômica Aplicada - GAC12_TCEREUA12,
2021.10,140.255440392668,
2021.11,144.012556435299,
2021.12,144.076025245457,
2022.01,139.727748078675,
2022.02,132.021537971891,
2022.03,125.258323329204,
2022.04,120.706780420075,
2022.05,127.162714039922,
2022.06,132.734358143924,
2022.07,138.916810465088,
2022.08,132.719196420744,
2022.09,137.445757864721,
2022.10,139.238432484491,
2022.11,142.417297753913,
2022.12,141.091846013878,
2023.01,140.87450416937,
2023.02,139.779835980774,
2023.03,141.860020315459,
2023.04,137.554029548943,
2023.05,138.931525010412,
2023.06,138.216624981046,
2023.07,138.536843587051,
2023.08,144.412238225203,
2023.09,145.821397513218,
2023.10,145.990009685112,
2023.11,140.250395325631,
2023.12,139.102179936101,
2024.01,140.646591675763,
2024.02,145.154646428625,
2024.03,146.353495304389,
